Name;File_type;Data_owner;Email_adress;Language;Primary_source;Download_link;CRS;File size;
Alblasserdam;CSV;Alblasserdam (Gemeente);support@civity.nl;Dutch;https://ckan.dataplatform.nl/dataset/bomen-alblasserdam;https://ckan.dataplatform.nl/datastore/dump/5bc33717-ff42-4aab-8bed-5ed0f618b1f8?bom=True;EPSG28992;0.6MB;
Dordrecht;CSV;Dordrecht (Gemeente);support@civity.nl;Dutch;https://ckan.dataplatform.nl/dataset/bomen-dordrecht/resource/684ee3f2-333c-4b07-bbb5-d08a393d6ed1;https://ckan.dataplatform.nl/datastore/dump/684ee3f2-333c-4b07-bbb5-d08a393d6ed1?bom=True;EPSG28992;0.6MB;
Papendrecht;SHP;Papendrecht (Gemeente);support@civity.nl;Dutch;https://ckan.dataplatform.nl/dataset/groenekaart-papendrecht;https://ckan.dataplatform.nl/dataset/69cc97fd-83c2-46c2-9888-6d25654cc351/resource/1c9e7bad-2907-42dd-9b94-b6ae4f36d151/download/papendrecht-groenekaart-2016-09-14-shape.zip;EPSG28992;0.7MB;
Gouda;CSV;Gouda (Gemeente);support@civity.nl;Dutch;https://ckan.dataplatform.nl/dataset/datasets-slimmelden-gouda;https://ckan.dataplatform.nl/dataset/5de35156-3c31-4b78-8653-3f6c3614c1f7/resource/7a5d7343-a327-4d50-8147-f811f3440b91/download/kcc_bomen_20250401.csv;WGS84;1.1MB;
Leeuwarden;SHP;Leeuwarden (Gemeente);None;Dutch;https://github.com/jdhoek/bomen-leeuwarden-osm/tree/master/source-data;LOCAL: https://github.com/jdhoek/bomen-leeuwarden-osm/tree/master/source-data;WGS84;1.5MB;
Lelystad;CSV;Lelystad (Gemeente);support@civity.nl;Dutch;https://ckan.dataplatform.nl/dataset/lelystad-bgt-vegetatieobject;https://ckan.dataplatform.nl/datastore/dump/e71c890b-7973-4c2e-9e04-828dde8da3b3?bom=True;WGS84;10.64MB;
Wageningen;JSON;Wageningen (Gemeente);None;Dutch;https://www.wageningen.nl/direct-regelen/bouwen-wonen-groen/groen/onderhoud-van-gemeentebomen/;LOCAL: https://experience.arcgis.com/experience/690666dd110c446fab723b78759d6cbb;WGS84;10.96MB;
Eindhoven;PARQUET;Eindhoven (Gemeente);data@eindhoven.nl;Dutch;https://data.eindhoven.nl/explore/dataset/bomen/information/?disjunctive.beheerder&disjunctive.boomsoort&disjunctive.hoogte&disjunctive.eigenaar&disjunctive.eindbeeld&disjunctive.boomsoort_nederlands&disjunctive.status_ter_indicatie;https://data.eindhoven.nl/api/explore/v2.1//catalog/datasets/bomen/exports/parquet;;11.2MB;
Arnhem;CSV;Arnhem (Gemeente);opendata@arnhem.nl;Dutch;https://data.overheid.nl/dataset/bomenkaart-arnhem#panel-description;https://opendata.arcgis.com/datasets/4d988cd7848049d3a574fcbd477985be_0.csv;WGS84;11.9MB;
Tilburg;JSON;Tilburg (Gemeente);opendata@tilburg.nl;Dutch;https://www.arcgis.com/apps/mapviewer/index.html?layers=f840c2b28f3d4d659a75cbded944e917;;WGS84;116MB;#Where is the download link!? It should be here somewhere
